AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Campus Dispatcher,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Trades/Maintenance Worker 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Accounting Technician,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Trades/Maintenance Worker 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Library Technician 1,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Custodian,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$31,152.00 "
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,"$31,152.00 "
